snapshot_date,project_name,client,bu,account_manager,project_manager,tech_lead,lifecycle,start_date,end_date,duration,overall_rating,quality,team_confidence,budget_health,delivery_health,team_wellbeing,customer_satisfaction,scope_health,billing,scope,budget,piia_review,milestones,documentation,linked_projects,high_care,budget_score,delivery_score,team_score,csat_score,scope_health_score,active,modified,modified_by,risk_issue_status
2026-05-01,Realtime Fraud Detection_ML Engineering,Capitec,Data,Angelique Joubert,,Vincent de Comarmond,Execution,2026-03-02,2027-02-28,12 Months,4.80,"3 - Some quality issues, being managed",4 - Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"ZAR 2,432,576.00",To be assessed,,,[],false,5,5,4,5,5,true,2026-05-04,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,Convergen3 | Resource for a Day,Convergen3,Code,Lesley van den Heever,,Matthew Crockett,Execution,2026-04-01,2027-03-31,12 Months,,,,"3 - Over budget (11–15%), intervention required",,,,,Fixed Billing,Variable Scope,"ZAR 16,250.00",To be assessed,,,[],false,3,,,,,true,2026-05-04,Tayla Boni,To be advised
2026-05-01,Credeq Google Cloud Strategic Agreement,Credeq,Cloud,Nikita Venter,Louis van der Walt,Louis-Philip Shahim,Execution,2025-09-01,2026-10-06,12 Months,4.50,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"4 - Slightly under hours/revenue (6–10%), but still aligned with scope/effort expectations",5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,ZAR 20 520 840,This project deals with Personal Information/Sensitive Data,,/sites/PMO/Project%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FPMO%2FProject%20Documents%2FCredeq&viewid=e48e1acd%2Dbbab%2D4233%2Da2bf%2Db4c94f3e1aaf,[],true,4,5,4,5,5,true,2026-04-30,Louis van der Walt,Risks/Issue Visible & Managed
2026-05-01,Credeq Cloudflare Implementation,Credeq,Cloud,Nikita Venter,Louis van der Walt,Jared Naude,Execution,2026-01-01,2026-04-30,4 Months,3.80,4 - Meets quality expectations,4 - Confident,1 - Underspent by >25% – major revenue shortfall or misalignment of resourcing vs. scope,5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"ZAR 396,090.00",We do not deal with Personal Information/Sensitive Data,,,[],false,1,5,5,5,5,true,2026-04-30,Louis van der Walt,Risks/Issues Require Support
2026-05-01,Credeq - Guarantee Gateway - Phase 1 Dev,Credeq,Code,Marsh Middleton,Jessica-May Bergh,Luke Holmwood,Execution,2026-04-13,2026-08-12,4 Months,4.05,4 - Meets quality expectations,3 - Somewhat Confident,"5 - On or under budget (0–5% variance), scope fully delivered","3 - Moderate delays (e.g. 3–4 weeks), risk to next milestone but manageable","4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",2 - Material scope change or quality deviation impacting timelines or deliverables. Scope may need to be re-baselined.,Fixed Billing,Variable Scope,"ZAR 2,803,246.00",To be assessed,1. Finalised Design Assets; 2. Technical Discovery & Foundation; 3. Core Platform Build - Guarantee Gateway Portal; 4. System Integration; 5. Testing & Quality Assurance; 6. Production Readiness & Launch,/:f:/r/sites/PMO/Project%20Documents/Credeq/Guarantee%20Gateway%20working%20folder?csf=1&web=1&e=dkFWK0,[],false,5,3,4,5,2,true,2026-05-18,Jessica-May Bergh,Risks/Issues Require Support
2026-05-01,Credeq - Azure Migration,Credeq,Cloud,Marsh Middleton,Louis van der Walt,Rui Felix,Execution,2026-04-12,2026-06-30,3 Months,4.65,4 - Meets quality expectations,3 - Somewhat Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery","4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"ZAR 730,680.00",To be assessed,,,[],false,5,4,4,5,5,true,2026-04-30,Louis van der Walt,Risks/Issues Require Support
2026-05-01,Netcare Process Automation Foundation & Initiation Phase,Dariel (Netcare),Code,Tashia Hillebrand,,Tjaard du Plessis,Execution,2026-04-01,2026-05-15,80 hours,3.50,2 - Frequent rework or poor testing coverage,2 - Low Confidence,2 - Significantly over budget (16–25%),5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","3 - Mixed feedback, recurring concerns, but still cooperative",5 - Scope and quality fully intact,Fixed Billing,Fixed Deliverables,"ZAR 125,725.00",We do not deal with Personal Information/Sensitive Data,,,[],false,2,5,4,3,5,true,2026-05-07,Tayla Boni,Risks/Issues Require Support
2026-05-01,AWS 10 day LZ in UAE,Fraudio,Cloud,Lesley van den Heever,,Declan FitzPatrick,Handover,2025-08-25,2025-11-21,3 Months,5.00,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"EUR 36 693,75",We do not deal with Personal Information/Sensitive Data,AWS IW Migrate Funding,,[],false,5,5,5,5,5,true,2026-05-07,Tayla Boni,Risks/Issue Visible & Managed
2026-05-01,Investec_IFB NEW Phase,Investec,Code,Devina Naidoo,Nitesh Dhoogar,Jordan Smith,Execution,2025-09-08,2026-06-08,9 Months,4.40,"5 - Excellent Quality, Exceeds expectations",4 - Confident,3 - Underspent by 11–15% – potential underutilization or overestimation,5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,ZAR 4 483 620,We do not deal with Personal Information/Sensitive Data,All project components delivered ahead of schedule. Business team migrated full base of clients onto new system. Team moved to phase 2 system enhancements.,/:f:/r/sites/PMO/Project%20Documents/Investec/Trade%20for%20Asset%20Finance%20Project?csf=1&web=1&e=Xg6jF7,[],false,3,5,5,5,5,true,2026-05-14,Nitesh Dhoogar,Risks/Issue Visible & Managed
2026-05-01,Cloudflare Engineering,Lombard,Cloud,Nikita Venter,Craig Fuchs,Jared Naude,Execution,2025-08-01,2025-11-30,4 Months,4.00,4 - Meets quality expectations,3 - Somewhat Confident,"3 - Over budget (11–15%), intervention required",5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","4 - Generally satisfied, minor issues raised and addressed quickly",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 376,820.00",We do not deal with Personal Information/Sensitive Data,,,[],false,3,5,4,4,5,true,2026-05-07,Craig Fuchs,Risks/Issue Visible & Managed
2026-05-01,Lombard Google Cloud Strategic Agreement,Lombard,Cloud,Nikita Venter,Craig Fuchs,Louis-Philip Shahim,Execution,2025-09-01,2026-10-13,12,4.85,4 - Meets quality expectations,4 - Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Fixed Billing,Variable Scope,"ZAR 22,739,757.00",To be assessed,,/:f:/r/sites/PMO/Project%20Documents/Lombard%20Insurance?csf=1&web=1&e=gpwlJD,[],true,5,5,5,5,4,true,2026-05-04,Tayla Boni,Risks/Issue Visible & Managed
2026-05-01,Lombard Strategic Contract: Risk API Product,Lombard,Code,Marsh Middleton,Jessica-May Bergh,,Closed,2026-01-26,2026-04-10,"2,5 Months",4.85,"5 - Excellent Quality, Exceeds expectations",5 - Extremely Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Fixed Billing,Variable Scope,"R 1,114,486.00",All Personal Information/Sensitive Data is managed by the Client,Requirements & Business Alignment Completed; API Layer Architecture & Design Finalised; API Layer Development & Integration Build Complete; UAT & Testing; Production Deployment & Stabilisation Complete; Documentation,/:f:/r/sites/PMO/Project%20Documents/Lombard%20Insurance/Lombard%20Human%20Risks%20API%20Project?csf=1&web=1&e=l83wFs,Lombard Google Cloud Strategic Agreement,false,5,5,5,5,4,true,2026-04-29,Tayla Boni,Risks/Issue Visible & Managed
2026-05-01,Lombard - CloudM Migration,Lombard,Code,Marsh Middleton,Chanel Barnard,Francois Botha,Execution,2026-04-17,2026-08-28,3 Months,5.00,,5 - Extremely Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 781 050,00",To be assessed,,,[],false,5,5,5,5,5,true,2026-05-12,Tayla Boni,To be advised
2026-05-01,Lombard - Github Migration,Lombard,Cloud,Marsh Middleton,,Mark McNaughton,Execution,,,6 Months,5.00,"5 - Excellent Quality, Exceeds expectations",,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Fixed Deliverables,"ZAR 92 289,00",To be assessed,,,[],false,5,5,5,5,5,true,2026-05-15,Craig Fuchs,Risks/Issue Visible & Managed
2026-05-01,Payfast AWS Optimization & Platform Foundations - #2835,Network International Payment Services,Cloud,Lesley van den Heever,,Jonathan Sidney,Execution,2025-06-02,2026-05-29,8 Months,4.30,4 - Meets quality expectations,3 - Somewhat Confident,"4 - Slightly under hours/revenue (6–10%), but still aligned with scope/effort expectations",5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","4 - Generally satisfied, minor issues raised and addressed quickly",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"ZAR 1 468 000,00",We do not deal with Personal Information/Sensitive Data,,,[],true,4,5,4,4,5,true,2026-05-07,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,Osiris Business Analyst,Osiris,Code,Jonathan Matus,Craig Fuchs,Dipti Kabra,Execution,2026-02-23,2026-08-21,6 Months,4.80,4 - Meets quality expectations,4 - Confident,"5 - On target with estimated effort and revenue (+/–5%), with appropriate scope delivery",5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 984,000.00",To be assessed,,/:f:/r/sites/PMO/Project%20Documents/Osiris%20Trading?csf=1&web=1&e=OCZX4L,[],false,5,5,4,5,5,true,2026-05-04,Tayla Boni,To be advised
2026-05-01,Multi Contract Consolidation & Extension,Osiris Trading,Code,Jonathan Matus,Craig Fuchs,Kudzai Muranga,Execution,2025-09-01,2026-08-28,12 Months,3.05,4 - Meets quality expectations,4 - Confident,1 - Underspent by >25% – major revenue shortfall or misalignment of resourcing vs. scope,"4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","3 - Mixed wellbeing – signs of fatigue, occasional conflict or stress-related issues","4 - Generally satisfied, minor issues raised and addressed quickly",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,ZAR 14 957 280,We do not deal with Personal Information/Sensitive Data,,,[],true,1,4,3,4,5,true,2026-04-08,Craig Fuchs,Risks/Issues Not Visible or Managed
2026-05-01,PayInc Strat Bucket,PayInc,Cloud,Devina Naidoo,,Naseem Ahmed,Execution,2026-03-02,2027-02-26,12 Months,3.90,,3 - Somewhat Confident,2 - Significantly over budget (16–25%),5 - On schedule or ahead of schedule,"4 - Mostly positive, some stress but team is coping well","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 720,000.00",To be assessed,,,[],false,2,5,4,5,5,true,2026-05-04,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,Corporate Functions GenAI Azure - #2868,Standard Bank,Code,Lesley van den Heever,Tayla Boni,Johan OConnell,On Hold,2025-10-15,2025-12-10,2 Months,4.70,4 - Meets quality expectations,4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered","4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Fixed Billing,Variable Scope,"ZAR 1,498,000.00",We do not deal with Personal Information/Sensitive Data,,/:f:/r/sites/PMO/Project%20Documents/Standard%20Bank/Corporate%20Functions%20GenAI%20Financial%20Commentary?csf=1&web=1&e=yJa3eG,[],true,5,4,5,5,4,true,2026-05-04,Tayla Boni,Risks/Issue Visible & Managed
2026-05-01,SBSA - Enterprise AI platform - Datahandling -Sage Maker Studio,Standard Bank,Data,Lesley van den Heever,,Ryan Harris,Working at Risk,2026-02-09,2026-07-17,~4 Months,3.55,4 - Meets quality expectations,4 - Confident,"4 - Slightly under hours/revenue (6–10%), but still aligned with scope/effort expectations","3 - Moderate delays (e.g. 3–4 weeks), risk to next milestone but manageable","4 - Mostly positive, some stress but team is coping well","4 - Generally satisfied, minor issues raised and addressed quickly",2 - Material scope change or quality deviation impacting timelines or deliverables. Scope may need to be re-baselined.,Time & Materials,Variable Scope,"ZAR 4,344,282.00",All Personal Information/Sensitive Data is managed by the Client,,/:f:/r/sites/PMO/Project%20Documents/Standard%20Bank/Enterprise%20AI%20platform%20-%20Datahandling%20-Sage%20Maker%20Studio?csf=1&web=1&e=yhfeuh,[],true,4,3,4,4,2,true,2026-05-11,Tayla Boni,Risks/Issues Require Support
2026-05-01,SBSA-AWS Pro-Serve GenAI Enterprise Platform MVP 1,Standard Bank,Data,Lesley van den Heever,,Miguel Laranjeira,Execution,2026-01-19,2026-07-17,4800 hours,3.70,4 - Meets quality expectations,3 - Somewhat Confident,"4 - Slightly under hours/revenue (6–10%), but still aligned with scope/effort expectations","3 - Moderate delays (e.g. 3–4 weeks), risk to next milestone but manageable","4 - Mostly positive, some stress but team is coping well","4 - Generally satisfied, minor issues raised and addressed quickly",3 - Scope creep emerging or quality issues observed; requires monitoring or intervention.,Time & Materials,Variable Scope,"ZAR 9,059,520.00",This project deals with Personal Information/Sensitive Data,,/:f:/r/sites/PMO/Project%20Documents/Standard%20Bank/AWS%20Pro-Serve%20GenAI%20Enterprise%20Platform%20MVP%201?csf=1&web=1&e=jemt0f,[],true,4,3,4,4,3,true,2026-05-11,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,SBSA - 2026 Bol Plus CLoud Modernization,Standard Bank,Cloud,Lesley van den Heever,,Taona Madawo,Execution,2025-12-15,2026-06-15,6 Months,5.00,4 - Meets quality expectations,4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 2,914,737.00",To be assessed,,,[],false,5,5,5,5,5,true,2026-04-08,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,SBSA - SmartVista Extension and Architecture Review,Standard Bank,Cloud,Lesley van den Heever,,,Execution,2026-04-01,2026-09-30,6 Months,4.80,,3 - Somewhat Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","4 - Generally satisfied, minor issues raised and addressed quickly",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 1,547,170.00",We do not deal with Personal Information/Sensitive Data,,,[],false,5,5,5,4,5,true,2026-05-11,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,Strate | Team Aug | Confluent Engineering Consulting | Project EXT (2months),Strate,Data,Lesley van den Heever,,Bhavesh Sooka,Working at Risk,2026-03-16,2026-05-18,2 Months,5.00,4 - Meets quality expectations,4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 1,887,270.00",To be assessed,,,[],true,5,5,5,5,5,true,2026-05-07,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,Swiffy | New Landing Zone | Old Enviro Migration | Cloud PS,Swiffy,Cloud,Lesley van den Heever,Kovishnee Moodley,Naseem Ahmed,Execution,2026-04-08,2026-06-24,12 Weeks,5.00,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Fixed Deliverables,"ZAR 1,165,714.00",We do not deal with Personal Information/Sensitive Data,Phased Modernisation Approach over ~12 weeks: Phase 1 Well-Architected baseline; Phases 2-3 platform enablement; Phase 4 security/resilience/cost governance; Phase 5 final validation and handover.,,[],false,5,5,5,5,5,true,2026-05-15,Kovishnee Moodley,To be advised
2026-05-01,Principal Solution Architect (11 Oct 2025 - 31 Jul 2026),University of Cambridge,Data,Darren Bak,,Anthony Patton,Execution,2025-10-13,2026-07-31,10 Months,5.00,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Fixed Billing,Variable Scope,"ZAR 3,329,523.81",This project deals with Personal Information/Sensitive Data,,,[],false,5,5,5,5,5,true,2026-05-05,Tayla Boni,Risks/Issues Not Visible or Managed
2026-05-01,University of Cambridge - B2B Shop lead,University of Cambridge,Code,Darren Bak,,Preshalin Naidoo,Execution,2026-01-14,2026-07-31,6.5 Months,4.40,4 - Meets quality expectations,3 - Somewhat Confident,"4 - Slightly under hours/revenue (6–10%), but still aligned with scope/effort expectations","4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Time & Materials,Variable Scope,GBP 106 720,To be assessed,,/:f:/r/sites/PMO/Project%20Documents/Cambridge%20University%20Press%20%26%20Assessment/Phase%202%20-%202026?csf=1&web=1&e=PLBryP,[],false,4,4,5,5,4,true,2026-05-14,Tayla Boni,Risks/Issues Require Support
2026-05-01,University of Cambridge - API Platform team extension,University of Cambridge,Code,Darren Bak,,Jonathan Lew,Execution,2026-02-02,2026-07-31,6 Months,4.20,4 - Meets quality expectations,4 - Confident,"4 - Slightly under hours/revenue (6–10%), but still aligned with scope/effort expectations","4 - Minor delays (e.g. 1–2 weeks), no impact on major milestones","5 - High morale, good collaboration, minimal stress or burnout signs","4 - Generally satisfied, minor issues raised and addressed quickly","4 - Minor scope changes or quality adjustments, well-managed and approved. No major risk.",Fixed Billing,Variable Scope,"GBP 63,360.00 (ZAR 1,508,571.43)",To be assessed,,/:f:/r/sites/PMO/Project%20Documents/Cambridge%20University%20Press%20%26%20Assessment/Phase%202%20-%202026?csf=1&web=1&e=PLBryP,[],false,4,4,5,4,4,true,2026-05-14,Tayla Boni,Risks/Issues Require Support
2026-05-01,University of Cambridge - Design system lead,University of Cambridge,Code,Darren Bak,,Henko Germishuizen,Execution,2026-01-26,2026-07-31,6 Months,5.00,"5 - Excellent Quality, Exceeds expectations",4 - Confident,"5 - On or under budget (0–5% variance), scope fully delivered",5 - On schedule or ahead of schedule,"5 - High morale, good collaboration, minimal stress or burnout signs","5 - Customer is highly satisfied, gives proactive praise, strong relationship",5 - Scope and quality fully intact,Time & Materials,Variable Scope,"GBP 68,640.00 (ZAR 1,634,285.71)",We do not deal with Personal Information/Sensitive Data,,/:f:/r/sites/PMO/Project%20Documents/Cambridge%20University%20Press%20%26%20Assessment/Phase%202%20-%202026?csf=1&web=1&e=PLBryP,[],false,5,5,5,5,5,true,2026-05-14,Tayla Boni,Risks/Issues Require Support
